#asicid/I:asicch/I:detid/I:stripid/I:material/I:posx/F:posy/F:posz/F:widthx/F:widthy/F:widthz/F:badch/I:ethre/F:	     
0 62 12 1055 1 8.125 0.0 -16.0 0.25 -1 0.75 0 5.0	7.301e-01 1.184e+00 -5.700e-04 -7.609e-07 4.886e-09 -4.146e-12
1 0 12 1056 1 7.875 0.0 -16.0 0.25 -1 0.75 0 5.0	1.044e+00 1.103e+00 -1.147e-03 7.141e-06 -1.517e-08 9.834e-12
1 2 12 1057 1 7.625 0.0 -16.0 0.25 -1 0.75 0 5.0	8.465e-01 1.117e+00 -1.211e-03 7.204e-06 -1.487e-08 9.359e-12
1 4 12 1058 1 7.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.529e+00 1.107e+00 -1.130e-03 5.113e-06 -1.052e-08 8.082e-12
1 6 12 1059 1 7.125 0.0 -16.0 0.25 -1 0.75 0 5.0	6.924e-01 1.082e+00 -6.736e-04 4.548e-06 -9.466e-09 5.631e-12
1 8 12 1060 1 6.875 0.0 -16.0 0.25 -1 0.75 0 5.0	7.959e-01 1.072e+00 -4.074e-04 1.785e-06 -3.374e-09 1.898e-12
1 10 12 1061 1 6.625 0.0 -16.0 0.25 -1 0.75 0 5.0	9.211e-01 1.122e+00 -1.215e-03 6.605e-06 -1.314e-08 8.103e-12
1 12 12 1062 1 6.375 0.0 -16.0 0.25 -1 0.75 0 5.0	3.084e-01 1.041e+00 -2.091e-04 3.402e-06 -9.311e-09 6.771e-12
1 14 12 1063 1 6.125 0.0 -16.0 0.25 -1 0.75 0 5.0	2.108e+00 1.124e+00 -1.282e-03 3.574e-06 -3.903e-09 1.384e-12
1 16 12 1064 1 5.875 0.0 -16.0 0.25 -1 0.75 0 5.0	4.620e-01 1.074e+00 -6.537e-04 4.814e-06 -1.096e-08 7.222e-12
1 18 12 1065 1 5.625 0.0 -16.0 0.25 -1 0.75 0 5.0	2.034e+00 1.139e+00 -1.656e-03 7.077e-06 -1.147e-08 6.053e-12
1 20 12 1066 1 5.375 0.0 -16.0 0.25 -1 0.75 0 5.0	3.108e+00 1.057e+00 -1.710e-03 1.730e-05 -4.853e-08 4.059e-11
1 22 12 1067 1 5.125 0.0 -16.0 0.25 -1 0.75 0 5.0	2.217e+00 1.024e+00 -1.095e-03 1.452e-05 -4.399e-08 3.818e-11
1 24 12 1068 1 4.875 0.0 -16.0 0.25 -1 0.75 0 5.0	-4.311e-01 1.049e+00 -9.709e-05 2.451e-06 -7.743e-09 5.851e-12
1 26 12 1069 1 4.625 0.0 -16.0 0.25 -1 0.75 0 5.0	1.146e+00 1.078e+00 -7.293e-04 3.278e-06 -5.817e-09 3.163e-12
1 28 12 1070 1 4.375 0.0 -16.0 0.25 -1 0.75 0 5.0	9.103e-01 1.097e+00 -8.752e-04 5.457e-06 -1.122e-08 6.890e-12
1 30 12 1071 1 4.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.231e+00 1.096e+00 -8.339e-04 3.320e-06 -5.823e-09 3.564e-12
1 32 12 1072 1 3.875 0.0 -16.0 0.25 -1 0.75 0 5.0	-7.142e-01 1.030e+00 1.985e-04 1.024e-06 -4.619e-09 3.594e-12
